Minnesota,Montreal,11/19/2013
Nashville,Detroit,11/19/2013
Chicago,Colorado,11/19/2013
Columbus,Edmonton,11/19/2013
Florida,Vancouver,11/19/2013
Tampa Bay,Los Angeles,11/19/2013
Minnesota,Ottawa,11/20/2013
Pittsburgh,Washington,11/20/2013
Columbus,Calgary,11/20/2013
New Jersey,Anaheim,11/20/2013
Buffalo,Philadelphia,11/21/2013
Nashville,Toronto,11/21/2013
St. Louis,Boston,11/21/2013
Carolina,Detroit,11/21/2013
Chicago,Winnipeg,11/21/2013
NY Rangers,Dallas,11/21/2013
Colorado,Phoenix,11/21/2013
Florida,Edmonton,11/21/2013
New Jersey,Los Angeles,11/21/2013
Tampa Bay,San Jose,11/21/2013
Montreal,Washington,11/22/2013
NY Islanders,Pittsburgh,11/22/2013
Florida,Calgary,11/22/2013
Columbus,Vancouver,11/22/2013
Tampa Bay,Anaheim,11/22/2013
Carolina,Boston,11/23/2013
Minnesota,Winnipeg,11/23/2013
NY Islanders,Philadelphia,11/23/2013
Ottawa,Detroit,11/23/2013
Pittsburgh,Montreal,11/23/2013
Washington,Toronto,11/23/2013
Anaheim,Phoenix,11/23/2013
Dallas,St. Louis,11/23/2013
NY Rangers,Nashville,11/23/2013
Chicago,Vancouver,11/23/2013
Colorado,Los Angeles,11/23/2013
New Jersey,San Jose,11/23/2013
Detroit,Buffalo,11/24/2013
Ottawa,Carolina,11/24/2013
Columbus,Toronto,11/25/2013
Pittsburgh,Boston,11/25/2013
Winnipeg,New Jersey,11/25/2013
NY Rangers,Tampa Bay,11/25/2013
Philadelphia,Florida,11/25/2013
Minnesota,St. Louis,11/25/2013
Phoenix,Nashville,11/25/2013
Chicago,Edmonton,11/25/2013
Los Angeles,Vancouver,11/25/2013
Anaheim,Dallas,11/26/2013
Carolina,New Jersey,11/27/2013
Montreal,Buffalo,11/27/2013
Nashville,Columbus,11/27/2013
Ottawa,Washington,11/27/2013
Winnipeg,NY Islanders,11/27/2013
Boston,Detroit,11/27/2013
NY Rangers,Florida,11/27/2013
Philadelphia,Tampa Bay,11/27/2013
Toronto,Pittsburgh,11/27/2013
Phoenix,Minnesota,11/27/2013
St. Louis,Colorado,11/27/2013
Chicago,Calgary,11/27/2013
Los Angeles,San Jose,11/27/2013
Vancouver,Ottawa,11/28/2013
Edmonton,Nashville,11/28/2013
NY Rangers,Boston,11/29/2013
Calgary,Anaheim,11/29/2013
Detroit,NY Islanders,11/29/2013
Pittsburgh,Tampa Bay,11/29/2013
St. Louis,San Jose,11/29/2013
Montreal,Washington,11/29/2013
Colorado,Minnesota,11/29/2013
Edmonton,Columbus,11/29/2013
New Jersey,Carolina,11/29/2013
Toronto,Buffalo,11/29/2013
Chicago,Dallas,11/29/2013
Winnipeg,Philadelphia,11/29/2013
Vancouver,NY Rangers,11/30/2013
Buffalo,New Jersey,11/30/2013
Columbus,Boston,11/30/2013
Pittsburgh,Florida,11/30/2013
Toronto,Montreal,11/30/2013
Washington,NY Islanders,11/30/2013
Chicago,Phoenix,11/30/2013
Philadelphia,Nashville,11/30/2013
Minnesota,Colorado,11/30/2013
Calgary,Los Angeles,11/30/2013
Anaheim,San Jose,11/30/2013
Vancouver,Carolina,12/1/2013
Detroit,Ottawa,12/1/2013
Edmonton,Dallas,12/1/2013
Winnipeg,NY Rangers,12/2/2013
New Jersey,Montreal,12/2/2013
Philadelphia,Minnesota,12/2/2013
St. Louis,Los Angeles,12/2/2013
Carolina,Washington,12/3/2013
Pittsburgh,NY Islanders,12/3/2013
San Jose,Toronto,12/3/2013
Tampa Bay,Columbus,12/3/2013
Ottawa,Florida,12/3/2013
Dallas,Chicago,12/3/2013
Vancouver,Nashville,12/3/2013
Phoenix,Edmonton,12/3/2013
Los Angeles,Anaheim,12/3/2013
Montreal,New Jersey,12/4/2013
